xi,oi,qi,envelope,pred_peak_mask
0.300877183675766,0.011663549630455572,0.0,0.08193202169275392,0
-0.032807085663080215,0.010378324595938144,0.0,0.059117104062146576,0
-0.13212382793426514,0.009214023978641227,0.0,0.0629942945182296,0
0.10550658404827118,0.008920750577597605,0.0,0.05931338870059791,0
-0.0316745825111866,0.011540424865822706,0.0,0.06665141805413304,0
0.22525638341903687,0.018606078793207546,0.0,0.06844859152595063,0
0.36878618597984314,0.028371244384017724,0.0,0.07289253288568627,0
0.0823514461517334,0.03682850254373354,0.0,0.06986866861672396,0
0.08403012156486511,0.04132783274043176,0.0,0.06757224036363131,0
0.12617366015911102,0.04268487969822839,0.0,0.06264745882749911,0
0.22658748924732208,0.0442284977143754,0.0,0.06224636388403708,0
0.2861865162849426,0.04804414163742794,0.0,0.06195403126309492,0
0.07467715442180634,0.0527305235171078,0.0,0.06292631319343216,0
-0.142777219414711,0.055840665344079846,0.0,0.06114104531715528,0
-0.1653396040201187,0.056565498468645066,0.0,0.05898230107681624,0
0.11329226195812225,0.05533357698290471,0.0,0.05574057201575377,0
0.29920047521591187,0.05274706342077689,0.0,0.052757855905887316,0
0.12912558019161224,0.049149480194401164,0.0,0.05025093150978533,0
-0.06189620494842529,0.04453634683905401,0.0,0.048256681877245834,0
0.02539597451686859,0.03859913364174487,0.0,0.04843985337598243,0
0.14904911816120148,0.030068467774541908,0.0,0.05040222721340587,0
0.00860647577792406,0.016698788026926,0.0,0.05748809158079357,0
0.039827797561883926,-0.0038492149321347575,0.0,0.07003169613121353,0
0.01397851761430502,-0.03680612696050595,0.0,0.09562039382030248,0
-0.11147356778383255,-0.0953584240171862,0.0,0.13981914206991344,0
0.03145469352602959,-0.19325805289967082,0.0,0.2122078108201084,0
0.24400657415390015,-0.3140757450985974,0.0,0.31418577862050523,0
0.26846837997436523,-0.3831147058890523,0.0,0.44081914661660937,0
0.051457155495882034,-0.29472953309704425,0.0,0.5801197601385976,0
0.07336360216140747,0.0026454829785857795,0.0,0.7140986083238471,0
0.46714937686920166,0.43279935177772266,0.0,0.8262898620971324,0
0.34601736068725586,0.8036476672872287,0.0,0.8993666861427028,0
